cve_id,Classification,NIST_IDs,year
CVE-2021-0232,Non-AI,,2021
CVE-2021-0233,Non-AI,,2021
CVE-2021-0234,Non-AI,,2021
CVE-2021-0235,Non-AI,,2021
CVE-2021-0236,Non-AI,,2021
CVE-2021-0237,Non-AI,,2021
CVE-2021-0238,Non-AI,,2021
CVE-2021-0239,Non-AI,,2021
CVE-2021-0240,Non-AI,,2021
CVE-2021-0241,Non-AI,,2021
CVE-2021-0242,Non-AI,,2021
CVE-2021-0243,Non-AI,,2021
CVE-2021-0244,Non-AI,,2021
CVE-2021-0245,Non-AI,,2021
CVE-2021-0246,Non-AI,,2021
CVE-2021-0247,Non-AI,,2021
CVE-2021-0248,Non-AI,,2021
CVE-2021-0249,Non-AI,,2021
CVE-2021-0250,Non-AI,,2021
CVE-2021-0251,Non-AI,,2021
CVE-2021-0252,Non-AI,,2021
CVE-2021-0253,Non-AI,,2021
CVE-2021-0254,Non-AI,,2021
CVE-2021-0255,Non-AI,,2021
CVE-2021-0256,Non-AI,,2021
CVE-2021-0257,Non-AI,,2021
CVE-2021-0258,Non-AI,,2021
CVE-2021-0259,Non-AI,,2021
CVE-2021-0260,Non-AI,,2021
CVE-2021-0261,Non-AI,,2021
CVE-2021-0262,Non-AI,,2021
CVE-2021-0263,Non-AI,,2021
CVE-2021-0264,Non-AI,,2021
CVE-2021-0265,Non-AI,,2021
CVE-2021-0266,Non-AI,,2021
CVE-2021-0267,Non-AI,,2021
CVE-2021-0268,Non-AI,,2021
CVE-2021-0269,Non-AI,,2021
CVE-2021-0270,Non-AI,,2021
CVE-2021-0271,Non-AI,,2021
CVE-2021-0272,Non-AI,,2021
CVE-2021-0273,Non-AI,,2021
CVE-2021-0275,Non-AI,,2021
CVE-2021-0276,Non-AI,,2021
CVE-2021-0277,Non-AI,,2021
CVE-2021-0278,Non-AI,,2021
CVE-2021-0279,Non-AI,,2021
CVE-2021-0280,Non-AI,,2021
CVE-2021-0281,Non-AI,,2021
CVE-2021-0282,Non-AI,,2021
CVE-2021-0283,Non-AI,,2021
CVE-2021-0284,Non-AI,,2021
CVE-2021-0285,Non-AI,,2021
CVE-2021-0286,Non-AI,,2021
CVE-2021-0287,Non-AI,,2021
CVE-2021-0288,Non-AI,,2021
CVE-2021-0289,Non-AI,,2021
CVE-2021-0290,Non-AI,,2021
CVE-2021-0291,Non-AI,,2021
CVE-2021-0292,Non-AI,,2021
CVE-2021-0293,Non-AI,,2021
CVE-2021-0294,Non-AI,,2021
CVE-2021-0295,Non-AI,,2021
CVE-2021-0296,Non-AI,,2021
CVE-2021-0297,Non-AI,,2021
CVE-2021-0298,Non-AI,,2021
CVE-2021-0299,Non-AI,,2021
CVE-2021-0301,Non-AI,,2021
CVE-2021-0302,Non-AI,,2021
CVE-2021-0303,Non-AI,,2021
CVE-2021-0304,Non-AI,,2021
CVE-2021-0305,Non-AI,,2021
CVE-2021-0306,Non-AI,,2021
CVE-2021-0307,Non-AI,,2021
CVE-2021-0308,Non-AI,,2021
CVE-2021-0309,Non-AI,,2021
CVE-2021-0310,Non-AI,,2021
CVE-2021-0311,Non-AI,,2021
CVE-2021-0312,Non-AI,,2021
CVE-2021-0313,Non-AI,,2021
CVE-2021-0314,Non-AI,,2021
CVE-2021-0315,Non-AI,,2021
CVE-2021-0316,Non-AI,,2021
CVE-2021-0317,Non-AI,,2021
CVE-2021-0318,Non-AI,,2021
CVE-2021-0319,Non-AI,,2021
CVE-2021-0320,Non-AI,,2021
CVE-2021-0321,Non-AI,,2021
CVE-2021-0322,Non-AI,,2021
CVE-2021-0324,Non-AI,,2021
CVE-2021-0325,Non-AI,,2021
CVE-2021-0326,Non-AI,,2021
CVE-2021-0327,Non-AI,,2021
CVE-2021-0328,Non-AI,,2021
CVE-2021-0329,Non-AI,,2021
CVE-2021-0330,Non-AI,,2021
CVE-2021-0331,Non-AI,,2021
CVE-2021-0332,Non-AI,,2021
CVE-2021-0333,Non-AI,,2021
CVE-2021-0334,Non-AI,,2021
CVE-2021-0335,Non-AI,,2021
CVE-2021-0336,Non-AI,,2021
CVE-2021-0337,Non-AI,,2021
CVE-2021-0338,Non-AI,,2021
CVE-2021-0339,Non-AI,,2021
CVE-2021-0340,Non-AI,,2021
CVE-2021-0341,Non-AI,,2021
CVE-2021-0342,Non-AI,,2021
CVE-2021-0343,Non-AI,,2021
CVE-2021-0344,Non-AI,,2021
CVE-2021-0345,Non-AI,,2021
CVE-2021-0346,Non-AI,,2021
CVE-2021-0347,Non-AI,,2021
CVE-2021-0348,Non-AI,,2021
CVE-2021-0349,Non-AI,,2021
CVE-2021-0350,Non-AI,,2021
CVE-2021-0351,Non-AI,,2021
CVE-2021-0352,Non-AI,,2021
CVE-2021-0353,Non-AI,,2021
CVE-2021-0354,Non-AI,,2021
CVE-2021-0355,Non-AI,,2021
CVE-2021-0356,Non-AI,,2021
CVE-2021-0357,Non-AI,,2021
CVE-2021-0358,Non-AI,,2021
CVE-2021-0359,Non-AI,,2021
CVE-2021-0360,Non-AI,,2021
CVE-2021-0361,Non-AI,,2021
CVE-2021-0362,Non-AI,,2021
CVE-2021-0363,Non-AI,,2021
CVE-2021-0364,Non-AI,,2021
CVE-2021-0365,Non-AI,,2021
CVE-2021-0366,Non-AI,,2021
CVE-2021-0367,Non-AI,,2021
CVE-2021-0368,Non-AI,,2021
CVE-2021-0369,Non-AI,,2021
CVE-2021-0370,Non-AI,,2021
CVE-2021-0371,Non-AI,,2021
CVE-2021-0372,Non-AI,,2021
CVE-2021-0374,Non-AI,,2021
CVE-2021-0375,Non-AI,,2021
CVE-2021-0376,Non-AI,,2021
CVE-2021-0377,Non-AI,,2021
CVE-2021-0378,Non-AI,,2021
CVE-2021-0379,Non-AI,,2021
CVE-2021-0380,Non-AI,,2021
CVE-2021-0381,Non-AI,,2021
CVE-2021-0382,Non-AI,,2021
CVE-2021-0383,Non-AI,,2021
CVE-2021-0385,Non-AI,,2021
CVE-2021-0386,Non-AI,,2021
CVE-2021-0387,Non-AI,,2021
CVE-2021-0388,Non-AI,,2021
CVE-2021-0389,Non-AI,,2021
CVE-2021-0390,Non-AI,,2021
CVE-2021-0391,Non-AI,,2021
CVE-2021-0392,Non-AI,,2021
CVE-2021-0393,Non-AI,,2021
CVE-2021-0394,Non-AI,,2021
CVE-2021-0395,Non-AI,,2021
CVE-2021-0396,Non-AI,,2021
CVE-2021-0397,Non-AI,,2021
CVE-2021-0398,Non-AI,,2021
CVE-2021-0399,Non-AI,,2021
CVE-2021-0400,Non-AI,,2021
CVE-2021-0401,Non-AI,,2021
CVE-2021-0402,Non-AI,,2021
CVE-2021-0403,Non-AI,,2021
CVE-2021-0404,Non-AI,,2021
CVE-2021-0405,Non-AI,,2021
CVE-2021-0406,Non-AI,,2021
CVE-2021-0407,Non-AI,,2021
CVE-2021-0408,Non-AI,,2021
CVE-2021-0409,Non-AI,,2021
CVE-2021-0410,Non-AI,,2021
CVE-2021-0411,Non-AI,,2021
CVE-2021-0412,Non-AI,,2021
CVE-2021-0413,Non-AI,,2021
CVE-2021-0414,Non-AI,,2021
CVE-2021-0415,Non-AI,,2021
CVE-2021-0416,Non-AI,,2021
CVE-2021-0417,Non-AI,,2021
CVE-2021-0418,Non-AI,,2021
CVE-2021-0419,Non-AI,,2021
CVE-2021-0420,Non-AI,,2021
CVE-2021-0421,Non-AI,,2021
CVE-2021-0422,Non-AI,,2021
CVE-2021-0423,Non-AI,,2021
CVE-2021-0424,Non-AI,,2021
CVE-2021-0425,Non-AI,,2021
CVE-2021-0426,Non-AI,,2021
CVE-2021-0427,Non-AI,,2021
CVE-2021-0428,Non-AI,,2021
CVE-2021-0429,Non-AI,,2021
CVE-2021-0430,Non-AI,,2021
CVE-2021-0431,Non-AI,,2021
CVE-2021-0432,Non-AI,,2021
CVE-2021-0433,Non-AI,,2021
CVE-2021-0434,Non-AI,,2021
CVE-2021-0435,Non-AI,,2021
CVE-2021-0436,Non-AI,,2021
CVE-2021-0437,Non-AI,,2021
CVE-2021-0438,Non-AI,,2021
CVE-2021-0439,Non-AI,,2021
CVE-2021-0441,Non-AI,,2021
CVE-2021-0442,Non-AI,,2021
CVE-2021-0443,Non-AI,,2021
CVE-2021-0444,Non-AI,,2021
CVE-2021-0445,Non-AI,,2021
CVE-2021-0446,Non-AI,,2021
CVE-2021-0449,Non-AI,,2021
CVE-2021-0450,Non-AI,,2021
CVE-2021-0451,Non-AI,,2021
CVE-2021-0452,Non-AI,,2021
CVE-2021-0453,Non-AI,,2021
CVE-2021-0454,Non-AI,,2021
CVE-2021-0455,Non-AI,,2021
CVE-2021-0456,Non-AI,,2021
CVE-2021-0457,Non-AI,,2021
CVE-2021-0458,Non-AI,,2021
CVE-2021-0459,Non-AI,,2021
CVE-2021-0460,Non-AI,,2021
CVE-2021-0461,Non-AI,,2021
CVE-2021-0462,Non-AI,,2021
CVE-2021-0463,Non-AI,,2021
CVE-2021-0464,Non-AI,,2021
CVE-2021-0465,Non-AI,,2021
CVE-2021-0466,Non-AI,,2021
CVE-2021-0467,Non-AI,,2021
CVE-2021-0468,Non-AI,,2021
CVE-2021-0471,Non-AI,,2021
CVE-2021-0472,Non-AI,,2021
CVE-2021-0473,Non-AI,,2021
CVE-2021-0474,Non-AI,,2021
CVE-2021-0475,Non-AI,,2021
CVE-2021-0476,Non-AI,,2021
CVE-2021-0477,Non-AI,,2021
CVE-2021-0478,Non-AI,,2021
CVE-2021-0480,Non-AI,,2021
CVE-2021-0481,Non-AI,,2021
CVE-2021-0482,Non-AI,,2021
CVE-2021-0483,Non-AI,,2021
CVE-2021-0484,Non-AI,,2021
CVE-2021-0485,Non-AI,,2021
CVE-2021-0486,Non-AI,,2021
CVE-2021-0487,Non-AI,,2021
CVE-2021-0488,Non-AI,,2021
CVE-2021-0489,Non-AI,,2021
CVE-2021-0490,Non-AI,,2021
CVE-2021-0491,Non-AI,,2021
CVE-2021-0492,Non-AI,,2021
CVE-2021-0493,Non-AI,,2021
CVE-2021-0494,Non-AI,,2021
CVE-2021-0495,Non-AI,,2021
CVE-2021-0496,Non-AI,,2021
CVE-2021-0497,Non-AI,,2021
CVE-2021-0498,Non-AI,,2021
CVE-2021-0504,Non-AI,,2021
CVE-2021-0505,Non-AI,,2021
CVE-2021-0506,Non-AI,,2021
CVE-2021-0507,Non-AI,,2021
CVE-2021-0508,Non-AI,,2021
CVE-2021-0509,Non-AI,,2021
CVE-2021-0510,Non-AI,,2021
CVE-2021-0511,Non-AI,,2021
CVE-2021-0512,Non-AI,,2021
CVE-2021-0513,Non-AI,,2021
CVE-2021-0514,Non-AI,,2021
CVE-2021-0515,Non-AI,,2021
CVE-2021-0516,Non-AI,,2021
CVE-2021-0517,Non-AI,,2021
CVE-2021-0518,Non-AI,,2021
CVE-2021-0519,Non-AI,,2021
CVE-2021-0520,Non-AI,,2021
CVE-2021-0521,Non-AI,,2021
CVE-2021-0522,Non-AI,,2021
CVE-2021-0523,Non-AI,,2021
CVE-2021-0524,Non-AI,,2021
CVE-2021-0525,Non-AI,,2021
CVE-2021-0526,Non-AI,,2021
CVE-2021-0527,Non-AI,,2021
CVE-2021-0528,Non-AI,,2021
CVE-2021-0529,Non-AI,,2021
CVE-2021-0530,Non-AI,,2021
CVE-2021-0531,Non-AI,,2021
CVE-2021-0532,Non-AI,,2021
CVE-2021-0533,Non-AI,,2021
CVE-2021-0534,Non-AI,,2021
CVE-2021-0535,Non-AI,,2021
CVE-2021-0536,Non-AI,,2021
CVE-2021-0537,Non-AI,,2021
CVE-2021-0538,Non-AI,,2021
CVE-2021-0539,Non-AI,,2021
CVE-2021-0540,Non-AI,,2021
CVE-2021-0541,Non-AI,,2021
CVE-2021-0542,Non-AI,,2021
CVE-2021-0543,Non-AI,,2021
CVE-2021-0544,Non-AI,,2021
CVE-2021-0545,Non-AI,,2021
CVE-2021-0546,Non-AI,,2021
CVE-2021-0547,Non-AI,,2021
CVE-2021-0548,Non-AI,,2021
CVE-2021-0549,Non-AI,,2021
CVE-2021-0550,Non-AI,,2021
CVE-2021-0551,Non-AI,,2021
CVE-2021-0552,Non-AI,,2021
CVE-2021-0553,Non-AI,,2021
CVE-2021-0554,Non-AI,,2021
CVE-2021-0555,Non-AI,,2021
CVE-2021-0556,Non-AI,,2021
CVE-2021-0557,Non-AI,,2021
CVE-2021-0558,Non-AI,,2021
CVE-2021-0559,Non-AI,,2021
CVE-2021-0561,Non-AI,,2021
CVE-2021-0562,Non-AI,,2021
CVE-2021-0563,Non-AI,,2021
CVE-2021-0564,Non-AI,,2021
CVE-2021-0565,Non-AI,,2021
CVE-2021-0566,Non-AI,,2021
CVE-2021-0567,Non-AI,,2021
CVE-2021-0568,Non-AI,,2021
CVE-2021-0569,Non-AI,,2021
CVE-2021-0570,Non-AI,,2021
CVE-2021-0571,Non-AI,,2021
CVE-2021-0572,Non-AI,,2021
CVE-2021-0573,Non-AI,,2021
CVE-2021-0574,Non-AI,,2021
CVE-2021-0576,Non-AI,,2021
CVE-2021-0577,Non-AI,,2021
CVE-2021-0578,Non-AI,,2021
CVE-2021-0579,Non-AI,,2021
CVE-2021-0580,Non-AI,,2021
CVE-2021-0581,Non-AI,,2021
CVE-2021-0582,Non-AI,,2021
CVE-2021-0583,Non-AI,,2021
CVE-2021-0584,Non-AI,,2021
CVE-2021-0585,Non-AI,,2021
CVE-2021-0586,Non-AI,,2021
CVE-2021-0587,Non-AI,,2021
CVE-2021-0588,Non-AI,,2021
CVE-2021-0589,Non-AI,,2021
CVE-2021-0590,Non-AI,,2021
CVE-2021-0591,Non-AI,,2021
CVE-2021-0592,Non-AI,,2021
CVE-2021-0593,Non-AI,,2021
CVE-2021-0594,Non-AI,,2021
CVE-2021-0595,Non-AI,,2021
CVE-2021-0596,Non-AI,,2021
CVE-2021-0597,Non-AI,,2021
CVE-2021-0598,Non-AI,,2021
CVE-2021-0599,Non-AI,,2021
CVE-2021-0600,Non-AI,,2021
CVE-2021-0601,Non-AI,,2021
CVE-2021-0602,Non-AI,,2021
CVE-2021-0603,Non-AI,,2021
CVE-2021-0604,Non-AI,,2021
CVE-2021-0605,Non-AI,,2021
CVE-2021-0606,Non-AI,,2021
CVE-2021-0607,Non-AI,,2021
CVE-2021-0608,Non-AI,,2021
CVE-2021-0610,Non-AI,,2021
CVE-2021-0611,Non-AI,,2021
CVE-2021-0612,Non-AI,,2021
CVE-2021-0613,Non-AI,,2021
CVE-2021-0614,Non-AI,,2021
CVE-2021-0615,Non-AI,,2021
CVE-2021-0616,Non-AI,,2021
CVE-2021-0617,Non-AI,,2021
CVE-2021-0618,Non-AI,,2021
CVE-2021-0619,Non-AI,,2021
CVE-2021-0620,Non-AI,,2021
CVE-2021-0621,Non-AI,,2021
CVE-2021-0622,Non-AI,,2021
CVE-2021-0623,Non-AI,,2021
CVE-2021-0624,Non-AI,,2021
CVE-2021-0625,Non-AI,,2021
CVE-2021-0626,Non-AI,,2021
CVE-2021-0627,Non-AI,,2021
CVE-2021-0628,Non-AI,,2021
CVE-2021-0629,Non-AI,,2021
CVE-2021-0630,Non-AI,,2021
CVE-2021-0631,Non-AI,,2021
CVE-2021-0632,Non-AI,,2021
CVE-2021-0633,Non-AI,,2021
CVE-2021-0634,Non-AI,,2021
CVE-2021-0635,Non-AI,,2021
CVE-2021-0636,Non-AI,,2021
CVE-2021-0639,Non-AI,,2021
CVE-2021-0640,Non-AI,,2021
CVE-2021-0641,Non-AI,,2021
CVE-2021-0642,Non-AI,,2021
CVE-2021-0643,Non-AI,,2021
CVE-2021-0644,Non-AI,,2021
CVE-2021-0645,Non-AI,,2021
CVE-2021-0646,Non-AI,,2021
CVE-2021-0649,Non-AI,,2021
CVE-2021-0650,Non-AI,,2021
CVE-2021-0651,Non-AI,,2021
CVE-2021-0652,Non-AI,,2021
CVE-2021-0653,Non-AI,,2021
CVE-2021-0654,Non-AI,,2021
CVE-2021-0655,Non-AI,,2021
CVE-2021-0656,Non-AI,,2021
CVE-2021-0657,Non-AI,,2021
CVE-2021-0658,Non-AI,,2021
CVE-2021-0659,Non-AI,,2021
CVE-2021-0660,Non-AI,,2021
CVE-2021-0661,Non-AI,,2021
CVE-2021-0662,Non-AI,,2021
CVE-2021-0663,Non-AI,,2021
CVE-2021-0664,Non-AI,,2021
CVE-2021-0665,Non-AI,,2021
CVE-2021-0666,Non-AI,,2021
CVE-2021-0667,Non-AI,,2021
CVE-2021-0668,Non-AI,,2021
CVE-2021-0669,Non-AI,,2021
CVE-2021-0670,Non-AI,,2021
CVE-2021-0671,Non-AI,,2021
CVE-2021-0672,Non-AI,,2021
CVE-2021-0673,Non-AI,,2021
CVE-2021-0674,Non-AI,,2021
CVE-2021-0675,Non-AI,,2021
CVE-2021-0676,Non-AI,,2021
CVE-2021-0677,Non-AI,,2021
CVE-2021-0678,Non-AI,,2021
CVE-2021-0679,Non-AI,,2021
CVE-2021-0680,Non-AI,,2021
CVE-2021-0681,Non-AI,,2021
CVE-2021-0682,Non-AI,,2021
CVE-2021-0683,Non-AI,,2021
CVE-2021-0684,Non-AI,,2021
CVE-2021-0685,Non-AI,,2021
CVE-2021-0686,Non-AI,,2021
CVE-2021-0687,Non-AI,,2021
CVE-2021-0688,Non-AI,,2021
CVE-2021-0689,Non-AI,,2021
CVE-2021-0690,Non-AI,,2021
CVE-2021-0691,Non-AI,,2021
CVE-2021-0692,Non-AI,,2021
CVE-2021-0693,Non-AI,,2021
CVE-2021-0694,Non-AI,,2021
CVE-2021-0695,Non-AI,,2021
CVE-2021-0696,Non-AI,,2021
CVE-2021-0697,Non-AI,,2021
CVE-2021-0698,Non-AI,,2021
CVE-2021-0699,Non-AI,,2021
CVE-2021-0701,Non-AI,,2021
CVE-2021-0702,Non-AI,,2021
CVE-2021-0703,Non-AI,,2021
CVE-2021-0704,Non-AI,,2021
CVE-2021-0705,Non-AI,,2021
CVE-2021-0706,Non-AI,,2021
CVE-2021-0707,Non-AI,,2021
CVE-2021-0708,Non-AI,,2021
CVE-2021-0734,Non-AI,,2021
CVE-2021-0735,Non-AI,,2021
CVE-2021-0769,Non-AI,,2021
CVE-2021-0799,Non-AI,,2021
CVE-2021-0869,Non-AI,,2021
CVE-2021-0870,Non-AI,,2021
CVE-2021-0871,Non-AI,,2021
CVE-2021-0872,Non-AI,,2021
CVE-2021-0873,Non-AI,,2021
CVE-2021-0874,Non-AI,,2021
CVE-2021-0875,Non-AI,,2021
CVE-2021-0876,Non-AI,,2021
CVE-2021-0877,Non-AI,,2021
CVE-2021-0878,Non-AI,,2021
CVE-2021-0879,Non-AI,,2021
CVE-2021-0880,Non-AI,,2021
CVE-2021-0881,Non-AI,,2021
CVE-2021-0882,Non-AI,,2021
CVE-2021-0883,Non-AI,,2021
CVE-2021-0884,Non-AI,,2021
CVE-2021-0885,Non-AI,,2021
CVE-2021-0887,Non-AI,,2021
CVE-2021-0889,Non-AI,,2021
CVE-2021-0891,Non-AI,,2021
CVE-2021-0893,Non-AI,,2021
CVE-2021-0894,Non-AI,,2021
CVE-2021-0895,Non-AI,,2021
CVE-2021-0896,Non-AI,,2021
CVE-2021-0897,Non-AI,,2021
CVE-2021-0898,Non-AI,,2021
CVE-2021-0899,Non-AI,,2021
CVE-2021-0900,Non-AI,,2021
CVE-2021-0901,Non-AI,,2021
CVE-2021-0902,Non-AI,,2021
CVE-2021-0903,Non-AI,,2021
CVE-2021-0904,Non-AI,,2021
CVE-2021-0918,Non-AI,,2021
CVE-2021-0919,Non-AI,,2021
CVE-2021-0920,Non-AI,,2021
CVE-2021-0921,Non-AI,,2021
CVE-2021-0922,Non-AI,,2021
CVE-2021-0923,Non-AI,,2021
CVE-2021-0924,Non-AI,,2021
CVE-2021-0925,Non-AI,,2021
CVE-2021-0926,Non-AI,,2021
CVE-2021-0927,Non-AI,,2021
CVE-2021-0928,Non-AI,,2021
CVE-2021-0929,Non-AI,,2021
CVE-2021-0930,Non-AI,,2021
CVE-2021-0931,Non-AI,,2021
CVE-2021-0932,Non-AI,,2021
CVE-2021-0933,Non-AI,,2021
CVE-2021-0934,Non-AI,,2021
CVE-2021-0935,Non-AI,,2021
CVE-2021-0936,Non-AI,,2021
CVE-2021-0938,Non-AI,,2021
CVE-2021-0939,Non-AI,,2021
CVE-2021-0940,Non-AI,,2021
CVE-2021-0941,Non-AI,,2021
CVE-2021-0942,Non-AI,,2021
CVE-2021-0943,Non-AI,,2021
CVE-2021-0945,Non-AI,,2021
CVE-2021-0946,Non-AI,,2021
CVE-2021-0947,Non-AI,,2021
CVE-2021-0948,Non-AI,,2021
CVE-2021-0951,Non-AI,,2021
CVE-2021-0952,Non-AI,,2021
CVE-2021-0953,Non-AI,,2021
CVE-2021-0954,Non-AI,,2021
CVE-2021-0955,Non-AI,,2021
CVE-2021-0956,Non-AI,,2021
CVE-2021-0957,Non-AI,,2021
CVE-2021-0958,Non-AI,,2021
CVE-2021-0959,Non-AI,,2021
CVE-2021-0961,Non-AI,,2021
CVE-2021-0963,Non-AI,,2021
CVE-2021-0964,Non-AI,,2021
CVE-2021-0965,Non-AI,,2021
CVE-2021-0966,Non-AI,,2021
